id,Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate
37,Singapore,Singapore,NTU Singapore,Data Science,PhD,4,8900,81.5,1600,90,800,1.34
38,Canada,Waterloo,University of Waterloo,Quantum Computing,PhD,4,21500,69.8,1300,235,900,1.35
39,Australia,Canberra,Australian National University,Climate Science,PhD,4,29800,70.2,1400,450,650,1.52
40,Sweden,Lund,Lund University,Neuroscience,PhD,4,0,69.5,1000,110,400,10.45
41,USA,San Diego,UC San Diego,Computer Science,Bachelor,4,44200,79.5,1900,160,1500,1
42,USA,Seattle,University of Washington,Computer Science,Master,2,38900,83.4,2000,160,1500,1
43,Canada,Edmonton,University of Alberta,Computer Science,PhD,4,22800,67.8,1200,235,900,1.35
44,UK,Glasgow,University of Glasgow,Computer Science,Master,1,33500,67.5,1100,485,800,0.79
45,India,Bangalore,Indian Institute of Science,Computer Science,Master,2,2500,45.6,500,200,300,83.2
46,Denmark,Aalborg,Aalborg University,Computer Science,Bachelor,3,0,69.8,900,120,450,6.92
47,Poland,Warsaw,University of Warsaw,Computer Science,Master,2,3800,51.2,650,80,350,4.02
48,Ireland,Galway,NUI Galway,Computer Science,Bachelor,4,25800,68.5,1100,150,650,0.92
49,South Korea,Daejeon,KAIST,Computer Science,PhD,4,6900,65.4,700,130,500,1320.5
50,Malaysia,Kuala Lumpur,University of Malaya,Computer Science,Bachelor,4,4800,48.2,500,110,300,4.72
51,USA,Berkeley,UC Berkeley,Computer Science,Bachelor,4,44900,84.2,2100,160,1500,1
52,UK,Manchester,University of Manchester,Economics,Bachelor,3,32000,68.4,1200,485,800,0.79
53,Canada,Vancouver,University of British Columbia,Psychology,Bachelor,4,31200,71.2,1700,235,900,1.35
54,Australia,Sydney,University of Sydney,Business,Bachelor,3,35000,72.8,1600,450,650,1.52
55,Germany,Berlin,Free University of Berlin,International Business,Bachelor,3,0,65.2,900,75,550,0.92
56,Spain,Barcelona,University of Barcelona,Architecture,Bachelor,4,2800,62.4,950,160,500,0.92
57,Italy,Milan,Politecnico di Milano,Design,Bachelor,3,4200,63.8,1100,120,650,0.92
58,Netherlands,Rotterdam,Erasmus University,Economics,Bachelor,3,11200,71.5,1300,180,720,0.92
59,Finland,Helsinki,University of Helsinki,Computer Science,Bachelor,3,0,70.2,1100,120,400,0.92
60,Norway,Oslo,University of Oslo,Environmental Science,Bachelor,3,0,75.6,1400,135,450,10.45
61,Japan,Osaka,Osaka University,Engineering,Bachelor,4,6800,71.2,900,220,750,145.8
62,Japan,Kyoto,Kyoto University,Computer Science,Master,2,8500,71.8,900,220,750,145.8
63,Japan,Nagoya,Nagoya University,Information Science,Bachelor,4,7800,68.5,750,220,750,145.8
64,Japan,Sendai,Tohoku University,Software Engineering,Master,2,8200,65.4,650,220,750,145.8
65,Japan,Fukuoka,Kyushu University,Computer Engineering,Bachelor,4,7500,64.8,600,220,750,145.8
66,Japan,Sapporo,Hokkaido University,Data Science,Master,2,8100,63.5,550,220,750,145.8
67,Japan,Tokyo,Tokyo Institute of Technology,Artificial Intelligence,PhD,3,8900,76.4,1100,220,750,145.8
68,Japan,Tsukuba,University of Tsukuba,Information Systems,Bachelor,4,7200,64.2,600,220,750,145.8
69,Japan,Kobe,Kobe University,Computer Science,Master,2,7900,67.8,700,220,750,145.8
70,Japan,Kanazawa,Kanazawa University,Software Engineering,Bachelor,4,7100,62.5,500,220,750,145.8
71,Japan,Hiroshima,Hiroshima University,Information Technology,Master,2,7600,63.8,550,220,750,145.8
72,Australia,Adelaide,University of Adelaide,Computer Science,Bachelor,3,32800,68.5,1100,450,650,1.52
73,Australia,Perth,University of Western Australia,Software Engineering,Master,2,34500,69.8,1200,450,650,1.52
74,Australia,Gold Coast,Griffith University,Information Technology,Bachelor,3,31200,67.5,1100,450,650,1.52
75,Australia,Hobart,University of Tasmania,Data Science,Master,2,30800,65.4,950,450,650,1.52
76,Australia,Newcastle,University of Newcastle,Computer Engineering,Bachelor,4,31500,66.8,1000,450,650,1.52
77,Australia,Wollongong,University of Wollongong,Artificial Intelligence,Master,2,32900,67.2,1050,450,650,1.52
78,Australia,Darwin,Charles Darwin University,Information Systems,Bachelor,3,29800,64.5,900,450,650,1.52
79,Australia,Townsville,James Cook University,Data Analytics,Master,2,31200,65.8,950,450,650,1.52
80,Australia,Sunshine Coast,USC,Software Development,Bachelor,3,29500,66.2,1000,450,650,1.52
81,Australia,Armidale,University of New England,Computing Science,Master,2,30500,64.8,850,450,650,1.52
82,Germany,Dresden,TU Dresden,Computer Science,Master,2,500,65.8,750,75,550,0.92
83,Germany,Stuttgart,University of Stuttgart,Software Engineering,Bachelor,3,450,68.5,850,75,550,0.92
84,Germany,Hamburg,TU Hamburg,Data Engineering,Master,2,500,71.2,950,75,550,0.92
85,Germany,Aachen,RWTH Aachen,Computer Engineering,Bachelor,3,500,66.4,700,75,550,0.92
86,Germany,Karlsruhe,KIT,Artificial Intelligence,Master,2,500,67.8,800,75,550,0.92
87,Germany,Darmstadt,TU Darmstadt,Information Systems,Bachelor,3,450,66.9,750,75,550,0.92
88,Germany,Braunschweig,TU Braunschweig,Software Systems,Master,2,500,64.5,650,75,550,0.92
89,Germany,Jena,University of Jena,Data Science,Bachelor,3,450,63.8,600,75,550,0.92
90,Germany,Hannover,Leibniz University,Digital Engineering,Master,2,500,66.2,750,75,550,0.92
91,Germany,Freiburg,University of Freiburg,Robotics & AI,Master,2,500,67.5,800,75,550,0.92
92,USA,Philadelphia,University of Pennsylvania,Computer Science,Master,2,51900,76.8,1900,160,1500,1
93,USA,Chicago,University of Chicago,Data Analytics,Master,2,52400,78.9,2000,160,1500,1
94,USA,Baltimore,Johns Hopkins,Artificial Intelligence,PhD,5,53600,72.5,1700,160,1500,1
95,USA,Nashville,Vanderbilt University,Computer Engineering,Bachelor,4,50800,71.2,1600,160,1500,1
96,USA,Durham,Duke University,Software Engineering,Master,2,51500,70.8,1500,160,1500,1
97,USA,Madison,University of Wisconsin,Computer Science,PhD,5,38200,69.5,1400,160,1500,1
98,USA,Tempe,Arizona State University,Information Technology,Bachelor,4,41200,70.2,1300,160,1500,1
99,USA,Boulder,University of Colorado,Data Science,Master,2,39800,71.5,1600,160,1500,1
100,USA,Minneapolis,University of Minnesota,Computer Science,Bachelor,4,42500,72.8,1500,160,1500,1
101,USA,Davis,UC Davis,Computer Engineering,Master,2,42800,73.5,1700,160,1500,1
102,UK,London,University College London,Computer Science,Master,1,39200,76.2,1900,485,800,0.79
103,UK,Leeds,University of Leeds,Software Engineering,Bachelor,3,28500,65.8,950,485,800,0.79
104,UK,Warwick,University of Warwick,Data Science,Master,1,36800,67.2,1000,485,800,0.79
105,UK,Sheffield,University of Sheffield,Artificial Intelligence,PhD,3,27900,64.5,850,485,800,0.79
106,UK,Birmingham,University of Birmingham,Computer Engineering,Bachelor,3,29500,66.8,950,485,800,0.79
107,UK,Southampton,University of Southampton,Cybersecurity,Master,1,32400,65.9,900,485,800,0.79
108,UK,Nottingham,University of Nottingham,Computer Science,Bachelor,3,28900,64.8,850,485,800,0.79
109,UK,Cardiff,Cardiff University,Software Development,Master,1,31200,64.2,800,485,800,0.79
110,UK,Belfast,Queen's University Belfast,Computing Systems,Bachelor,3,27500,63.5,750,485,800,0.79
111,UK,Newcastle,Newcastle University,Data Analytics,Master,1,30800,64.6,800,485,800,0.79
112,Canada,Hamilton,McMaster University,Software Engineering,Bachelor,4,32500,68.5,1200,235,900,1.35
113,Canada,London ON,Western University,Computer Science,Master,2,29800,65.8,1100,235,900,1.35
114,Canada,Halifax,Dalhousie University,Data Science,Master,2,28500,64.5,1200,235,900,1.35
115,Canada,Victoria,University of Victoria,Computer Engineering,Bachelor,4,27900,69.2,1300,235,900,1.35
116,Canada,Quebec City,Laval University,Artificial Intelligence,Master,2,21500,63.8,900,235,900,1.35
117,Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4,26800,62.5,950,235,900,1.35
118,Canada,Regina,University of Regina,Software Systems,Bachelor,4,25500,61.8,900,235,900,1.35
119,Canada,St. John's,Memorial University,Computer Science,Master,2,19800,63.2,950,235,900,1.35
120,Canada,Saskatoon,University of Saskatchewan,Data Analytics,Master,2,24500,62.8,1000,235,900,1.35
121,Canada,Sherbrooke,Université de Sherbrooke,Computer Engineering,PhD,4,20500,61.5,850,235,900,1.35
122,USA,Pittsburgh,Carnegie Mellon,Computer Science,Master,2,51200,72.4,1800,160,1500,1
123,USA,Urbana-Champaign,UIUC,Computer Science,PhD,5,45800,68.5,1400,160,1500,1
124,Canada,Calgary,University of Calgary,Software Engineering,Bachelor,4,26500,69.2,1300,235,900,1.35
125,Brazil,Sao Paulo,University of Sao Paulo,Computer Science,Master,2,0,48.5,600,160,400,4.95
126,Turkey,Istanbul,Bogazici University,Computer Engineering,Bachelor,4,1800,42.8,450,100,300,30.5
127,Russia,Moscow,Moscow State University,Applied Mathematics,Master,2,3900,51.2,700,120,350,92.8
128,Mexico,Mexico City,UNAM,Computer Engineering,Bachelor,4,800,44.6,500,160,400,17.2
129,Greece,Athens,National Technical University,Software Engineering,Master,2,2500,54.8,550,120,400,0.92
130,Thailand,Bangkok,Chulalongkorn University,Computer Science,Bachelor,4,3800,46.5,450,140,300,35.2
131,UAE,Dubai,American University in Dubai,Computer Science,Bachelor,4,29500,72.4,1200,270,800,3.67
132,USA,New York,Columbia University,Data Science,Master,2,52800,100,2500,160,1500,1
133,USA,Ithaca,Cornell University,Computer Science,PhD,5,49800,70.5,1600,160,1500,1
134,China,Shenzhen,SUSTech,Artificial Intelligence,Master,2,8200,58.4,800,140,400,7.18
135,South Africa,Cape Town,University of Cape Town,Computer Science,Bachelor,3,5900,49.2,600,140,400,18.72
136,Egypt,Cairo,American University in Cairo,Computer Engineering,Bachelor,4,19800,38.4,450,130,350,30.9
137,Argentina,Buenos Aires,University of Buenos Aires,Software Engineering,Bachelor,5,0,42.6,400,150,300,821.5
138,Indonesia,Jakarta,University of Indonesia,Information Systems,Bachelor,4,4200,45.8,500,130,300,15640
139,Saudi Arabia,Riyadh,King Saud University,Computer Science,Master,2,7800,52.4,800,250,600,3.75
140,Nigeria,Lagos,University of Lagos,Computer Engineering,Bachelor,4,2500,40.2,400,180,300,860.2
141,Vietnam,Ho Chi Minh City,HCMUT,Software Engineering,Bachelor,4,3200,43.6,450,120,250,24450
142,Netherlands,Eindhoven,TU Eindhoven,Computer Science,Master,2,15600,69.8,950,180,720,0.92
143,Netherlands,Enschede,University of Twente,Artificial Intelligence,Bachelor,3,11200,65.4,750,180,720,0.92
144,Netherlands,Groningen,University of Groningen,Computing Science,Master,2,14800,66.8,800,180,720,0.92
145,Netherlands,Maastricht,Maastricht University,Data Science,Bachelor,3,11500,67.2,850,180,720,0.92
146,Netherlands,Nijmegen,Radboud University,Software Science,Master,2,14500,66.5,800,180,720,0.92
147,Netherlands,Tilburg,Tilburg University,Information Systems,Bachelor,3,11300,65.8,750,180,720,0.92
148,Netherlands,Utrecht,Utrecht University,Game Technology,Master,2,15200,70.2,1000,180,720,0.92
149,Netherlands,Leiden,Leiden University,Computer Engineering,Bachelor,3,11400,69.5,950,180,720,0.92
150,Netherlands,Wageningen,Wageningen University,Bioinformatics,Master,2,14900,65.2,750,180,720,0.92
151,Netherlands,Amsterdam,VU Amsterdam,Business Analytics,Master,2,15400,73.5,1100,180,720,0.92
152,Singapore,Singapore,Nanyang Technological University,Computer Science,Bachelor,4,32500,81.1,1500,90,800,1.34
153,Singapore,Singapore,Singapore Management University,Information Systems,Bachelor,4,31800,81.1,1500,90,800,1.34
154,Singapore,Singapore,SUTD,Computer Science & Design,Bachelor,4,31200,81.1,1500,90,800,1.34
155,Singapore,Singapore,SIT,Software Engineering,Bachelor,4,29800,81.1,1500,90,800,1.34
156,Singapore,Singapore,NUS,Artificial Intelligence,Master,2,35600,81.1,1500,90,800,1.34
157,Singapore,Singapore,NTU,Data Science & AI,Master,2,34900,81.1,1500,90,800,1.34
158,Singapore,Singapore,SUTD,Technology & Innovation,Master,2,33800,81.1,1500,90,800,1.34
159,Singapore,Singapore,SMU,Computing & Innovation,Master,2,34200,81.1,1500,90,800,1.34
160,Singapore,Singapore,NUS,Computer Engineering,PhD,4,38500,81.1,1500,90,800,1.34
161,Singapore,Singapore,NTU,Digital Systems & AI,PhD,4,37900,81.1,1500,90,800,1.34
162,France,Paris,École Polytechnique,Computer Science,Master,2,15600,74.6,1500,99,650,0.92
163,France,Toulouse,INSA Toulouse,Software Engineering,Bachelor,3,4200,65.8,750,99,650,0.92
164,France,Lyon,École Normale Supérieure Lyon,Data Science,Master,2,4800,68.5,850,99,650,0.92
165,France,Grenoble,Grenoble INP,Artificial Intelligence,Master,2,4500,66.4,800,99,650,0.92
166,France,Nice,Université Nice Sophia Antipolis,Computer Engineering,Bachelor,3,3900,69.2,900,99,650,0.92
167,France,Bordeaux,University of Bordeaux,Information Systems,Master,2,4200,67.8,850,99,650,0.92
168,France,Lille,Université de Lille,Software Development,Bachelor,3,3800,65.5,750,99,650,0.92
169,France,Rennes,INSA Rennes,Cybersecurity,Master,2,4500,64.8,700,99,650,0.92
170,France,Strasbourg,University of Strasbourg,Digital Systems,Bachelor,3,3900,66.2,800,99,650,0.92
171,France,Montpellier,University of Montpellier,Data Engineering,Master,2,4100,65.9,750,99,650,0.92
172,Switzerland,Lausanne,EPFL,Computer Science,Master,2,1460,89.8,1900,88,1200,0.89
173,Switzerland,Geneva,University of Geneva,Data Science,Bachelor,3,1380,90.5,2000,88,1200,0.89
174,Switzerland,Bern,University of Bern,Software Engineering,Master,2,1420,85.4,1700,88,1200,0.89
175,Switzerland,St. Gallen,University of St. Gallen,Business Informatics,Bachelor,3,1440,86.2,1600,88,1200,0.89
176,Switzerland,Lugano,USI,Artificial Intelligence,Master,2,1460,84.5,1500,88,1200,0.89
177,Switzerland,Fribourg,University of Fribourg,Computer Engineering,Bachelor,3,1380,83.8,1400,88,1200,0.89
178,Switzerland,Neuchatel,University of Neuchatel,Information Systems,Master,2,1420,84.2,1500,88,1200,0.89
179,Switzerland,Basel,University of Basel,Computational Science,Master,2,1440,87.5,1800,88,1200,0.89
180,Switzerland,Lucerne,University of Lucerne,Digital Innovation,Bachelor,3,1380,85.8,1600,88,1200,0.89
181,Switzerland,Winterthur,ZHAW,Data Engineering,Master,2,1460,86.4,1700,88,1200,0.89
182,Denmark,Copenhagen,University of Copenhagen,Computer Science,Master,2,8800,83.2,1500,110,600,0.15
183,Denmark,Aarhus,Aarhus University,Data Science,Master,2,8600,77.4,1200,110,600,0.15
184,Denmark,Aalborg,Aalborg University,Software Engineering,Master,2,8400,75.1,1000,110,600,0.15
185,China,Beijing,Tsinghua University,Computer Science,Master,3,8900,51.2,800,140,400,7.15
186,China,Beijing,Peking University,Data Science,Master,3,8500,51.2,750,140,400,7.15
187,China,Shanghai,Fudan University,Software Engineering,Master,2.5,7800,48.9,700,140,400,7.15
188,China,Shanghai,Shanghai Jiao Tong University,Artificial Intelligence,Master,2.5,8200,48.9,720,140,400,7.15
189,China,Hangzhou,Zhejiang University,Computer Engineering,Master,3,7500,45.3,550,140,400,7.15
190,China,Nanjing,Nanjing University,Information Technology,Master,3,7200,44.1,500,140,400,7.15
191,China,Guangzhou,Sun Yat-sen University,Computer Science,Master,3,6900,43.8,480,140,400,7.15
192,China,Wuhan,Wuhan University,Software Engineering,Master,3,6500,41.2,450,140,400,7.15
193,China,Xi'an,Xi'an Jiaotong University,Data Science,Master,3,6300,40.5,420,140,400,7.15
194,China,Chengdu,Sichuan University,Computer Engineering,Master,3,6100,39.8,400,140,400,7.15
195,South Korea,Seoul,Seoul National University,Computer Science,Master,2,7200,85.1,950,90,800,1300
196,South Korea,Seoul,Korea University,Artificial Intelligence,Master,2,7000,85.1,920,90,800,1300
197,South Korea,Seoul,Yonsei University,Data Science,Master,2,6900,85.1,900,90,800,1300
198,South Korea,Seoul,Hanyang University,Software Engineering,Master,2,6500,85.1,850,90,800,1300
199,South Korea,Seoul,Sungkyunkwan University,Computer Engineering,Master,2,6400,85.1,840,90,800,1300
200,South Korea,Daejeon,KAIST,Robotics Engineering,Master,2,6800,75.4,700,90,800,1300
201,South Korea,Daejeon,Chungnam National University,Information Systems,Master,2,5900,75.4,650,90,800,1300
202,South Korea,Busan,Pusan National University,Computer Science,Master,2,5800,73.2,600,90,800,1300
203,South Korea,Busan,Dong-A University,Software Engineering,Master,2,5600,73.2,580,90,800,1300
204,South Korea,Daegu,Kyungpook National University,Data Analytics,Master,2,5500,71.8,550,90,800,1300
205,South Korea,Daegu,Yeungnam University,Computer Engineering,Master,2,5400,71.8,530,90,800,1300
206,South Korea,Gwangju,Chonnam National University,Information Technology,Master,2,5300,70.5,520,90,800,1300
207,South Korea,Gwangju,Chosun University,Computer Science,Master,2,5200,70.5,500,90,800,1300
208,South Korea,Ulsan,Ulsan National Institute of Science and Technology,AI Engineering,Master,2,6100,72.3,580,90,800,1300
209,South Korea,Ulsan,University of Ulsan,Software Systems,Master,2,5100,72.3,550,90,800,1300
210,South Korea,Pohang,POSTECH,Computer Engineering,Master,2,6300,71.2,570,90,800,1300
211,South Korea,Incheon,Incheon National University,Data Science,Master,2,5000,76.4,600,90,800,1300
212,South Korea,Suwon,Sungkyunkwan University (Suwon),Computer Systems,Master,2,5900,77.8,650,90,800,1300
213,South Korea,Daejeon,Hanbat National University,Information Security,Master,2,4900,75.4,540,90,800,1300
214,South Korea,Cheongju,Chungbuk National University,Computer Networks,Master,2,4800,70.1,520,90,800,1300
215,USA,Stanford,Stanford University,Computer Science,Bachelor,4,57000,95.2,2400,160,1500,1
216,USA,Cambridge,MIT,Computer Science,Bachelor,4,55800,83.5,2300,160,1500,1
217,USA,New Haven,Yale University,Computer Science,Bachelor,4,54500,79.8,2100,160,1500,1
218,USA,Princeton,Princeton University,Computer Science,Bachelor,4,54000,81.2,2000,160,1500,1
219,USA,Philadelphia,University of Pennsylvania,Computer Science,Bachelor,4,53500,82.4,1900,160,1500,1
220,USA,Los Angeles,UCLA,Computer Science,Bachelor,4,43000,88.7,2200,160,1500,1
221,USA,Berkeley,UC Berkeley,Computer Science,Bachelor,4,43500,91.5,2300,160,1500,1
222,USA,Ann Arbor,University of Michigan,Computer Science,Bachelor,4,52000,75.4,1700,160,1500,1
223,USA,Austin,University of Texas Austin,Computer Science,Bachelor,4,40500,72.8,1800,160,1500,1
224,USA,Seattle,University of Washington,Computer Science,Bachelor,4,39800,85.6,2000,160,1500,1
225,USA,Madison,University of Wisconsin-Madison,Computer Science,Bachelor,4,37500,71.2,1600,160,1500,1
226,USA,Urbana,University of Illinois Urbana-Champaign,Computer Science,Bachelor,4,36800,70.5,1500,160,1500,1
227,USA,Atlanta,Georgia Tech,Computer Science,Bachelor,4,33500,76.8,1700,160,1500,1
228,USA,Columbus,Ohio State University,Computer Science,Bachelor,4,32800,71.4,1400,160,1500,1
229,USA,West Lafayette,Purdue University,Computer Science,Bachelor,4,31500,68.9,1300,160,1500,1
230,USA,Gainesville,University of Florida,Computer Science,Bachelor,4,28500,70.2,1400,160,1500,1
231,USA,Tempe,Arizona State University,Computer Science,Bachelor,4,28000,72.5,1500,160,1500,1
232,USA,Raleigh,NC State University,Computer Science,Bachelor,4,27500,71.8,1400,160,1500,1
233,USA,College Station,Texas A&M University,Computer Science,Bachelor,4,27000,69.5,1300,160,1500,1
234,USA,Corvallis,Oregon State University,Computer Science,Bachelor,4,26500,70.1,1300,160,1500,1
235,UK,Cambridge,University of Cambridge,Computer Science,Bachelor,3,38500,78.5,1800,490,800,0.79
236,UK,Oxford,University of Oxford,Computer Science,Bachelor,3,37900,77.8,1850,490,800,0.79
237,UK,London,Imperial College London,Computer Science,Bachelor,3,37500,83.2,2200,490,800,0.79
238,UK,London,University College London,Computer Science,Bachelor,3,36800,83.2,2100,490,800,0.79
239,UK,London,King's College London,Computer Science,Bachelor,3,35500,83.2,2000,490,800,0.79
240,UK,Edinburgh,University of Edinburgh,Computer Science,Bachelor,4,32500,75.4,1600,490,800,0.79
241,UK,Manchester,University of Manchester,Computer Science,Bachelor,3,31800,72.1,1400,490,800,0.79
242,UK,Bristol,University of Bristol,Computer Science,Bachelor,3,31500,74.8,1500,490,800,0.79
243,UK,Warwick,University of Warwick,Computer Science,Bachelor,3,31200,71.5,1300,490,800,0.79
244,UK,Glasgow,University of Glasgow,Computer Science,Bachelor,4,30800,73.2,1400,490,800,0.79
245,UK,Birmingham,University of Birmingham,Computer Science,Bachelor,3,30500,71.8,1300,490,800,0.79
246,UK,Leeds,University of Leeds,Computer Science,Bachelor,3,30200,71.2,1250,490,800,0.79
247,UK,Sheffield,University of Sheffield,Computer Science,Bachelor,3,29800,70.5,1200,490,800,0.79
248,UK,Nottingham,University of Nottingham,Computer Science,Bachelor,3,29500,70.8,1150,490,800,0.79
249,UK,Southampton,University of Southampton,Computer Science,Bachelor,3,29200,72.4,1300,490,800,0.79
250,UK,Durham,Durham University,Computer Science,Bachelor,3,28900,71.6,1250,490,800,0.79
251,UK,Liverpool,University of Liverpool,Computer Science,Bachelor,3,28600,70.2,1100,490,800,0.79
252,UK,Cardiff,Cardiff University,Computer Science,Bachelor,3,28300,69.8,1050,490,800,0.79
253,UK,Newcastle,Newcastle University,Computer Science,Bachelor,3,28000,70.1,1100,490,800,0.79
254,UK,Aberdeen,University of Aberdeen,Computer Science,Bachelor,4,27700,69.5,1000,490,800,0.79
255,UK,Leicester,University of Leicester,Computer Science,Bachelor,3,27400,68.9,950,490,800,0.79
256,UK,Reading,University of Reading,Computer Science,Bachelor,3,27100,71.2,1150,490,800,0.79
257,UK,Sussex,University of Sussex,Computer Science,Bachelor,3,26800,72.5,1200,490,800,0.79
258,UK,Essex,University of Essex,Computer Science,Bachelor,3,26500,69.8,1000,490,800,0.79
259,UK,Bath,University of Bath,Computer Science,Bachelor,3,26200,73.4,1250,490,800,0.79
260,UK,Surrey,University of Surrey,Computer Science,Bachelor,3,25900,71.8,1150,490,800,0.79
261,UK,Exeter,University of Exeter,Computer Science,Bachelor,3,25600,72.1,1200,490,800,0.79
262,UK,Kent,University of Kent,Computer Science,Bachelor,3,25300,70.5,1100,490,800,0.79
263,UK,Dundee,University of Dundee,Computer Science,Bachelor,4,25000,68.9,950,490,800,0.79
264,UK,Strathclyde,University of Strathclyde,Computer Science,Bachelor,4,24700,69.2,1000,490,800,0.79
265,UK,Heriot-Watt,Heriot-Watt University,Computer Science,Bachelor,4,24400,69.5,1050,490,800,0.79
266,UK,Loughborough,Loughborough University,Computer Science,Bachelor,3,24100,68.5,900,490,800,0.79
267,UK,Brunel,Brunel University London,Computer Science,Bachelor,3,23800,83.2,1800,490,800,0.79
268,UK,Queen Mary,Queen Mary University of London,Computer Science,Bachelor,3,23500,83.2,1900,490,800,0.79
269,UK,Royal Holloway,Royal Holloway University,Computer Science,Bachelor,3,23200,75.5,1400,490,800,0.79
270,UK,Lancaster,Lancaster University,Computer Science,Bachelor,3,22900,69.8,1000,490,800,0.79
271,UK,Swansea,Swansea University,Computer Science,Bachelor,3,22600,68.5,950,490,800,0.79
272,UK,Aston,Aston University,Computer Science,Bachelor,3,22300,71.8,1200,490,800,0.79
273,UK,Hull,University of Hull,Computer Science,Bachelor,3,22000,67.9,850,490,800,0.79
274,UK,Keele,Keele University,Computer Science,Bachelor,3,21700,67.5,800,490,800,0.79
275,UK,Plymouth,University of Plymouth,Computer Science,Bachelor,3,21400,69.2,950,490,800,0.79
276,UK,Portsmouth,University of Portsmouth,Computer Science,Bachelor,3,21100,70.5,1000,490,800,0.79
277,UK,Ulster,Ulster University,Computer Science,Bachelor,3,20800,67.2,800,490,800,0.79
278,UK,Northumbria,Northumbria University,Computer Science,Bachelor,3,20500,68.5,900,490,800,0.79
279,UK,Coventry,Coventry University,Computer Science,Bachelor,3,20200,69.8,950,490,800,0.79
280,UK,Oxford Brookes,Oxford Brookes University,Computer Science,Bachelor,3,19900,77.8,1500,490,800,0.79
